groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,heroRole,note
royal-13ml-clear-13-415,GBRoyal13Gl,GB-VIA-CLR-13ML-GLD-T,GBRoyal13Gl__GB-VIA-CLR-13ML-GLD-T.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/10. Royal 13ml/2. Royal 13ml (Capped) PSD/28. GBRoyal13Gl.psd,ready,,
royal-13ml-clear-13-415,GBRoyal13Gl,GB-VIA-CLR-13ML-GLD-T,GBRoyal13Gl__GB-VIA-CLR-13ML-GLD-T.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/10. Royal 13ml/1. Royal 13ml (Unapped) PSD /28. GBRoyal13Gl.psd,ready,hero,
royal-13ml-clear-13-415-finemist,GBRoyal13SpryGlMatt,GB-RYL-CLR-13ML-SPR-MGLD,GBRoyal13SpryGlMatt__GB-RYL-CLR-13ML-SPR-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/10. Royal 13ml/2. Royal 13ml (Capped) PSD/7. GBRoyal13SpryGlMatt.psd,ready,,
royal-13ml-clear-13-415-finemist,GBRoyal13SpryGlMatt,GB-RYL-CLR-13ML-SPR-MGLD,GBRoyal13SpryGlMatt__GB-RYL-CLR-13ML-SPR-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/10. Royal 13ml/1. Royal 13ml (Unapped) PSD /7. GBRoyal13SpryGlMatt.psd,ready,hero,
royal-13ml-clear-13-415-rollon,GBRoyal13MtlRollBlkDot,GB-RYL-CLR-13ML-MRL-BKDT,GBRoyal13MtlRollBlkDot__GB-RYL-CLR-13ML-MRL-BKDT.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/10. Royal 13ml/2. Royal 13ml (Capped) PSD/26. GBRoyal13MtlRollBlkDot.psd,ready,,
royal-13ml-clear-13-415-rollon,GBRoyal13MtlRollBlkDot,GB-RYL-CLR-13ML-MRL-BKDT,GBRoyal13MtlRollBlkDot__GB-RYL-CLR-13ML-MRL-BKDT.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/10. Royal 13ml/1. Royal 13ml (Unapped) PSD /26. GBRoyal13MtlRollBlkDot.psd,ready,hero,
royal-14ml-clear-11mm,GBMtlCylGl,GB-RYL-CLR-14ML-T,GBMtlCylGl__GB-RYL-CLR-14ML-T.png,identity-cap-on,,,missing-role,,
royal-14ml-clear-11mm,GBMtlCylGl,GB-RYL-CLR-14ML-T,GBMtlCylGl__GB-RYL-CLR-14ML-T.png,pdp-cap-off-sidecar,,,missing-role,hero,
royal-14ml-clear-11mm,GBMtlCylGl,GB-RYL-CLR-14ML-T,GBMtlCylGl__GB-RYL-CLR-14ML-T.png,UNDECIDED,original,Decorative Glass bottles/GBMtlCylGl.psd,needs-role-decision,,
