groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,heroRole,note
teardrop-9ml-clear-Ground-glassapplicator,GBTRDPClear,GB-TRD-CLR-9ML,GBTRDPClear__GB-TRD-CLR-9ML.png,identity-cap-on,,,missing-role,,
teardrop-9ml-clear-Ground-glassapplicator,GBTRDPClear,GB-TRD-CLR-9ML,GBTRDPClear__GB-TRD-CLR-9ML.png,pdp-cap-off-sidecar,,,missing-role,hero,
teardrop-9ml-clear-Ground-glassapplicator,GBTRDPClear,GB-TRD-CLR-9ML,GBTRDPClear__GB-TRD-CLR-9ML.png,UNDECIDED,original,Decorative Glass bottles/GBTRDPClear..psd,needs-role-decision,,
teardrop-9ml-cobalt-blue-Ground-glassapplicator,GBTrdpBlue,GB-TRD-BLU-9ML,GBTrdpBlue__GB-TRD-BLU-9ML.png,identity-cap-on,,,missing-role,,
teardrop-9ml-cobalt-blue-Ground-glassapplicator,GBTrdpBlue,GB-TRD-BLU-9ML,GBTrdpBlue__GB-TRD-BLU-9ML.png,pdp-cap-off-sidecar,,,missing-role,hero,
teardrop-9ml-cobalt-blue-Ground-glassapplicator,GBTrdpBlue,GB-TRD-BLU-9ML,GBTrdpBlue__GB-TRD-BLU-9ML.png,UNDECIDED,original,Decorative Glass bottles/GBTrdpBlue..psd,needs-role-decision,,
teardrop-9ml-green-Ground-glassapplicator,GBTRDPGreen,GB-TRD-GRN-9ML,GBTRDPGreen__GB-TRD-GRN-9ML.png,identity-cap-on,,,missing-role,,
teardrop-9ml-green-Ground-glassapplicator,GBTRDPGreen,GB-TRD-GRN-9ML,GBTRDPGreen__GB-TRD-GRN-9ML.png,pdp-cap-off-sidecar,,,missing-role,hero,
teardrop-9ml-green-Ground-glassapplicator,GBTRDPGreen,GB-TRD-GRN-9ML,GBTRDPGreen__GB-TRD-GRN-9ML.png,UNDECIDED,original,Decorative Glass bottles/GBTRDPGreen.psd,needs-role-decision,,
