groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,heroRole,note
circle-100ml-frosted-18-415-lotionpump,LBCrclFrst100LtnMtGl,LB-CIR-FRS-100ML-LPM-MGLD,LBCrclFrst100LtnMtGl__LB-CIR-FRS-100ML-LPM-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /6. Circle (frosted) 100ml/1. Circle Frst 100ml PSD/14. LBCrclFrst100LtnMtGl.psd,ready,hero,
circle-100ml-frosted-18-415-perfumespray,GBCrclFrst100SpryMtGl,GB-CIR-FRS-100ML-SPR-MGLD,GBCrclFrst100SpryMtGl__GB-CIR-FRS-100ML-SPR-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/6. Circle (frosted) 100ml/1. Circle Frst 100ml PSD/11. GBCrclFrst100SpryMtGl.psd,ready,,
circle-100ml-frosted-18-415-perfumespray,GBCrclFrst100SpryMtGl,GB-CIR-FRS-100ML-SPR-MGLD,GBCrclFrst100SpryMtGl__GB-CIR-FRS-100ML-SPR-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /6. Circle (frosted) 100ml/1. Circle Frst 100ml PSD/13. GBCrclFrst100SpryMtGl.psd,ready,hero,
circle-100ml-frosted-18-415-reducer,GBCrclFrst100RdcrShnGl,GB-CIR-FRS-100ML-RDC-SGLD,GBCrclFrst100RdcrShnGl__GB-CIR-FRS-100ML-RDC-SGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/6. Circle (frosted) 100ml/1. Circle Frst 100ml PSD/1. GBCrclFrst100RdcrShnGl.psd,ready,,
circle-100ml-frosted-18-415-reducer,GBCrclFrst100RdcrShnGl,GB-CIR-FRS-100ML-RDC-SGLD,GBCrclFrst100RdcrShnGl__GB-CIR-FRS-100ML-RDC-SGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /6. Circle (frosted) 100ml/1. Circle Frst 100ml PSD/1. GBCrclFrst100RdcrShnGl.psd,ready,hero,
circle-15ml-clear-13-415,GBCrcl15Gl,GB-CIR-CLR-15ML-GLD-T,GBCrcl15Gl__GB-CIR-CLR-15ML-GLD-T.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/17. Circle 15ml/2. Circle 15ml (Capped) PSD/28. GBCrcl15Gl.psd,ready,,
circle-15ml-clear-13-415,GBCrcl15Gl,GB-CIR-CLR-15ML-GLD-T,GBCrcl15Gl__GB-CIR-CLR-15ML-GLD-T.png,pdp-cap-off-sidecar,,,missing-role,hero,
circle-15ml-clear-13-415-finemist,GBCrcl15SpryGlMatt,GB-CIR-CLR-15ML-SPR-MGLD,GBCrcl15SpryGlMatt__GB-CIR-CLR-15ML-SPR-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/17. Circle 15ml/2. Circle 15ml (Capped) PSD/7. GBCrcl15SpryGlMatt.psd,ready,,
circle-15ml-clear-13-415-finemist,GBCrcl15SpryGlMatt,GB-CIR-CLR-15ML-SPR-MGLD,GBCrcl15SpryGlMatt__GB-CIR-CLR-15ML-SPR-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/17. Circle 15ml/1. Circle 15ml (Uncapped) PSD /7. GBCrcl15SpryGlMatt.psd,ready,hero,
circle-15ml-clear-13-415-rollon,GBCrcl15MtlRollGlMatt,GB-CIR-CLR-15ML-MRL-MGLD,GBCrcl15MtlRollGlMatt__GB-CIR-CLR-15ML-MRL-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/17. Circle 15ml/2. Circle 15ml (Capped) PSD/16. GBCrcl15MtlRollGlMatt.psd,ready,,
