groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,heroRole,note
lotion-bottle-30ml-clear,LB1ozGl,LB-LTB-CLR-30ML-SGLD-T,LB1ozGl__LB-LTB-CLR-30ML-SGLD-T.png,identity-cap-on,,,no-source,,
lotion-bottle-30ml-clear,LB1ozGl,LB-LTB-CLR-30ML-SGLD-T,LB1ozGl__LB-LTB-CLR-30ML-SGLD-T.png,pdp-cap-off-sidecar,,,no-source,hero,
lotion-bottle-30ml-clear-18mm,LBMetalSilver1oz,LB-LTB-CLR-30ML-T,LBMetalSilver1oz__LB-LTB-CLR-30ML-T.png,identity-cap-on,,,no-source,,
lotion-bottle-30ml-clear-18mm,LBMetalSilver1oz,LB-LTB-CLR-30ML-T,LBMetalSilver1oz__LB-LTB-CLR-30ML-T.png,pdp-cap-off-sidecar,,,no-source,hero,
lotion-bottle-3ml-clear-Snap-On,LB3mlClear,LB-LTB-CLR-3ML-CLR-T,LB3mlClear__LB-LTB-CLR-3ML-CLR-T.png,identity-cap-on,,,no-source,,
lotion-bottle-3ml-clear-Snap-On,LB3mlClear,LB-LTB-CLR-3ML-CLR-T,LB3mlClear__LB-LTB-CLR-3ML-CLR-T.png,pdp-cap-off-sidecar,,,no-source,hero,
