groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,note
pillar-9ml-clear-13-415,GBPillar9MtlRollBlkdot,GB-PIL-CLR-9ML-MRL-BDOT,GBPillar9MtlRollBlkdot__GB-PIL-CLR-9ML-MRL-BDOT.png,identity-cap-on,,,no-source,
pillar-9ml-clear-13-415,GBPillar9MtlRollBlkdot,GB-PIL-CLR-9ML-MRL-BDOT,GBPillar9MtlRollBlkdot__GB-PIL-CLR-9ML-MRL-BDOT.png,pdp-cap-off-sidecar,,,no-source,
pillar-9ml-clear-17-415-finemist,GBPillar9SpryBlkMatt,GB-PIL-CLR-9ML-SPR-MBLK,GBPillar9SpryBlkMatt__GB-PIL-CLR-9ML-SPR-MBLK.png,identity-cap-on,,,no-source,
pillar-9ml-clear-17-415-finemist,GBPillar9SpryBlkMatt,GB-PIL-CLR-9ML-SPR-MBLK,GBPillar9SpryBlkMatt__GB-PIL-CLR-9ML-SPR-MBLK.png,pdp-cap-off-sidecar,,,no-source,
