groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,note
cylinder-9ml-cobalt-blue-17-415-rollon,GBCylBlu9MtlRollBlkDot,GB-CYL-BLU-9ML-MRL-BKDT,GBCylBlu9MtlRollBlkDot__GB-CYL-BLU-9ML-MRL-BKDT.png,identity-cap-on,bbuat,2. PSD Capped /3.  17-415 Bottles/2. Cobalt Blue 9ml  (Capped)/2. GBCylBlu9MtlRollBlkDot.psd,ready,
cylinder-9ml-cobalt-blue-17-415-rollon,GBCylBlu9MtlRollBlkDot,GB-CYL-BLU-9ML-MRL-BKDT,GBCylBlu9MtlRollBlkDot__GB-CYL-BLU-9ML-MRL-BKDT.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /3.  17-415 Bottles/1. Cobalt Blue 9ml  (Uncapped)/2. GBCylBlu9MtlRollBlkDot.psd,ready,
cylinder-9ml-frosted-13-415,GBTallCylFrst9GlMattSht,GB-CYL-FRS-9ML-MGLD-S,GBTallCylFrst9GlMattSht__GB-CYL-FRS-9ML-MGLD-S.png,identity-cap-on,,,no-source,
cylinder-9ml-frosted-13-415,GBTallCylFrst9GlMattSht,GB-CYL-FRS-9ML-MGLD-S,GBTallCylFrst9GlMattSht__GB-CYL-FRS-9ML-MGLD-S.png,pdp-cap-off-sidecar,,,no-source,
cylinder-9ml-frosted-13-415-finemist,GBTallCylFrst9SpryGlMatt,GB-CYL-FRS-9ML-05,GBTallCylFrst9SpryGlMatt__GB-CYL-FRS-9ML-05.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/23. Frosted Tall Cylinder 9ml /2. Frosted Tall Cyl 9ml (capped) PSD /7. GBTallCylFrst9SpryGlMatt.psd,ready,
cylinder-9ml-frosted-13-415-finemist,GBTallCylFrst9SpryGlMatt,GB-CYL-FRS-9ML-05,GBTallCylFrst9SpryGlMatt__GB-CYL-FRS-9ML-05.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/23. Frosted Tall Cylinder 9ml /1. Frosted Tall Cyl 9ml  (uncapped) PSD/7. GBTallCylFrst9SpryGlMatt.psd,ready,
cylinder-9ml-frosted-13-415-rollon,GBTallCylFrst9MtlRollBlkDot,GB-CYL-FRS-9ML-T-02,GBTallCylFrst9MtlRollBlkDot__GB-CYL-FRS-9ML-T-02.png,identity-cap-on,,,missing-role,
cylinder-9ml-frosted-13-415-rollon,GBTallCylFrst9MtlRollBlkDot,GB-CYL-FRS-9ML-T-02,GBTallCylFrst9MtlRollBlkDot__GB-CYL-FRS-9ML-T-02.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/23. Frosted Tall Cylinder 9ml /1. Frosted Tall Cyl 9ml  (uncapped) PSD/26. GBTallCylFrst9MtlRollBlkDot.psd,ready,
cylinder-9ml-frosted-17-415-finemist,GBCylFrst9SpryMattSl,GB-CYL-FRS-9ML-SPR-MSLV,GBCylFrst9SpryMattSl__GB-CYL-FRS-9ML-SPR-MSLV.png,identity-cap-on,bbuat,2. PSD Capped /3.  17-415 Bottles/6. Frosted 9ml (Capped)/22. GBCylFrst9SpryMattSl.psd,ready,
cylinder-9ml-frosted-17-415-finemist,GBCylFrst9SpryMattSl,GB-CYL-FRS-9ML-SPR-MSLV,GBCylFrst9SpryMattSl__GB-CYL-FRS-9ML-SPR-MSLV.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /3.  17-415 Bottles/5. Frosted 9ml (Uncapped)/22. GBCylFrst9SpryMattSl.psd,ready,
