groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,heroRole,note
flair-15ml-clear-13-415,GBFlair15Gl,GB-VIA-CLR-15ML-GLD-T-01,GBFlair15Gl__GB-VIA-CLR-15ML-GLD-T-01.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/11. Flair 15ml/2. Flair 15ml (capped) PSD/28. GBFlair15Gl.psd,ready,,
flair-15ml-clear-13-415,GBFlair15Gl,GB-VIA-CLR-15ML-GLD-T-01,GBFlair15Gl__GB-VIA-CLR-15ML-GLD-T-01.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/11. Flair 15ml/1. Flair 15ml  (uncapped) PSD /28. GBFlair15Gl.psd,ready,hero,
flair-15ml-clear-13-415-finemist,GBFlair15SpryGlMatt,GB-FLR-CLR-15ML-SPR-MGLD,GBFlair15SpryGlMatt__GB-FLR-CLR-15ML-SPR-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/11. Flair 15ml/2. Flair 15ml (capped) PSD/7. GBFlair15SpryGlMatt.psd,ready,,
flair-15ml-clear-13-415-finemist,GBFlair15SpryGlMatt,GB-FLR-CLR-15ML-SPR-MGLD,GBFlair15SpryGlMatt__GB-FLR-CLR-15ML-SPR-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/11. Flair 15ml/1. Flair 15ml  (uncapped) PSD /7. GBFlair15SpryGlMatt.psd,ready,hero,
flair-15ml-clear-13-415-rollon,GBFlair15MtlRollBlkDot,GB-FLR-CLR-15ML-MRL-BKDT,GBFlair15MtlRollBlkDot__GB-FLR-CLR-15ML-MRL-BKDT.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/11. Flair 15ml/2. Flair 15ml (capped) PSD/26. GBFlair15MtlRollBlkDot.psd,ready,,
flair-15ml-clear-13-415-rollon,GBFlair15MtlRollBlkDot,GB-FLR-CLR-15ML-MRL-BKDT,GBFlair15MtlRollBlkDot__GB-FLR-CLR-15ML-MRL-BKDT.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/11. Flair 15ml/1. Flair 15ml  (uncapped) PSD /26. GBFlair15MtlRollBlkDot.psd,ready,hero,
