groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,note
round-128ml-frosted-18-415-dropper,GBRndFrst128DrpGl,GB-RND-FRS-12ML-DRP-SGLD,GBRndFrst128DrpGl__GB-RND-FRS-12ML-DRP-SGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /10. Round Frosted 128ml/1. Round Frst 128ml PSD/53. GBRndFrst128DrpGl.psd,ready,
round-128ml-frosted-18-415-lotionpump,LBRndFrst128LtnMtGl,LB-RND-FRS-128ML-LPM-MGLD,LBRndFrst128LtnMtGl__LB-RND-FRS-128ML-LPM-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/10. Round Frosted 128ml/1. Round Frst 128ml PSD/12. LBRndFrst128LtnMtGl.psd,ready,
round-128ml-frosted-18-415-lotionpump,LBRndFrst128LtnMtGl,LB-RND-FRS-128ML-LPM-MGLD,LBRndFrst128LtnMtGl__LB-RND-FRS-128ML-LPM-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /10. Round Frosted 128ml/1. Round Frst 128ml PSD/14. LBRndFrst128LtnMtGl.psd,ready,
round-128ml-frosted-18-415-perfumespray,GBRndFrst128SpryMtGl,GB-RND-FRS-128ML-SPR-MGLD,GBRndFrst128SpryMtGl__GB-RND-FRS-128ML-SPR-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/10. Round Frosted 128ml/1. Round Frst 128ml PSD/11. GBRndFrst128SpryMtGl.psd,ready,
round-128ml-frosted-18-415-perfumespray,GBRndFrst128SpryMtGl,GB-RND-FRS-128ML-SPR-MGLD,GBRndFrst128SpryMtGl__GB-RND-FRS-128ML-SPR-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /10. Round Frosted 128ml/1. Round Frst 128ml PSD/13. GBRndFrst128SpryMtGl.psd,ready,
round-128ml-frosted-18-415-reducer,GBRndFrst128RdcrShnGl,GB-RND-FRS-128ML-RDC-SGLD,GBRndFrst128RdcrShnGl__GB-RND-FRS-128ML-RDC-SGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/10. Round Frosted 128ml/1. Round Frst 128ml PSD/1. GBRndFrst128RdcrShnGl.psd,ready,
round-128ml-frosted-18-415-reducer,GBRndFrst128RdcrShnGl,GB-RND-FRS-128ML-RDC-SGLD,GBRndFrst128RdcrShnGl__GB-RND-FRS-128ML-RDC-SGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /10. Round Frosted 128ml/1. Round Frst 128ml PSD/1. GBRndFrst128RdcrShnGl.psd,ready,
round-78ml-clear-18-415-antiquespray,GBRnd78AnSpGl,GB-RND-CLR-78ML-ASP-GLD,GBRnd78AnSpGl__GB-RND-CLR-78ML-ASP-GLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/9. Round 78ml/1. Round 78ml PSD/37. GBRnd78AnSpGl.psd,ready,
round-78ml-clear-18-415-antiquespray,GBRnd78AnSpGl,GB-RND-CLR-78ML-ASP-GLD,GBRnd78AnSpGl__GB-RND-CLR-78ML-ASP-GLD.png,pdp-cap-off-sidecar,,,missing-role,
round-78ml-clear-18-415-antiquespray-tassel,GBRnd78AnSpTslGl,GB-RND-CLR-78ML-AST-GLD,GBRnd78AnSpTslGl__GB-RND-CLR-78ML-AST-GLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/9. Round 78ml/1. Round 78ml PSD/50. GBRnd78AnSpTslGl.psd,ready,
