groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,note
slim-30ml-clear-18-415-perfumespray,GBSlm30SpryMtGl,GB-SLM-CLR-30ML-SPR-MGLD,GBSlm30SpryMtGl__GB-SLM-CLR-30ML-SPR-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/14. Slim 30ml/1. Slim 30ml PSD/11. GBSlm30SpryMtGl.psd,ready,
slim-30ml-clear-18-415-perfumespray,GBSlm30SpryMtGl,GB-SLM-CLR-30ML-SPR-MGLD,GBSlm30SpryMtGl__GB-SLM-CLR-30ML-SPR-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /14. Slim 30ml/1. Slim 30ml PSD/13. GBSlm30SpryMtGl.psd,ready,
slim-30ml-clear-18-415-reducer,GBSlm30RdcrShnGl,GB-SLM-CLR-30ML-RDC-SGLD,GBSlm30RdcrShnGl__GB-SLM-CLR-30ML-RDC-SGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/14. Slim 30ml/1. Slim 30ml PSD/1. GBSlm30RdcrShnGl.psd,ready,
slim-30ml-clear-18-415-reducer,GBSlm30RdcrShnGl,GB-SLM-CLR-30ML-RDC-SGLD,GBSlm30RdcrShnGl__GB-SLM-CLR-30ML-RDC-SGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /14. Slim 30ml/1. Slim 30ml PSD/1. GBSlm30RdcrShnGl.psd,ready,
slim-50ml-clear-18-415-antiquespray,GBSlm50AnSpGl,GB-SLM-CLR-50ML-ASP-GLD,GBSlm50AnSpGl__GB-SLM-CLR-50ML-ASP-GLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/15. Slim 50ml/1. Slim 50ml PSD/37. GBSlm50AnSpGl.psd,ready,
slim-50ml-clear-18-415-antiquespray,GBSlm50AnSpGl,GB-SLM-CLR-50ML-ASP-GLD,GBSlm50AnSpGl__GB-SLM-CLR-50ML-ASP-GLD.png,pdp-cap-off-sidecar,,,missing-role,
slim-50ml-clear-18-415-antiquespray-tassel,GBSlm50AnSpTslWht,GB-SLM-CLR-50ML-AST-WHT,GBSlm50AnSpTslWht__GB-SLM-CLR-50ML-AST-WHT.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/15. Slim 50ml/1. Slim 50ml PSD/45. GBSlm50AnSpTslWht.psd,ready,
slim-50ml-clear-18-415-antiquespray-tassel,GBSlm50AnSpTslWht,GB-SLM-CLR-50ML-AST-WHT,GBSlm50AnSpTslWht__GB-SLM-CLR-50ML-AST-WHT.png,pdp-cap-off-sidecar,,,missing-role,
slim-50ml-clear-18-415-lotionpump,LBSlm50LtnMtGl,LB-SLM-CLR-50ML-LPM-MGLD,LBSlm50LtnMtGl__LB-SLM-CLR-50ML-LPM-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/15. Slim 50ml/1. Slim 50ml PSD/12. LBSlm50LtnMtGl.psd,ready,
slim-50ml-clear-18-415-lotionpump,LBSlm50LtnMtGl,LB-SLM-CLR-50ML-LPM-MGLD,LBSlm50LtnMtGl__LB-SLM-CLR-50ML-LPM-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /15. Slim 50ml/1. Slim 50ml PSD/14. LBSlm50LtnMtGl.psd,ready,
slim-50ml-clear-18-415-perfumespray,GBSlm50SpryMtGl,GB-SLM-CLR-50ML-SPR-MGLD,GBSlm50SpryMtGl__GB-SLM-CLR-50ML-SPR-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/15. Slim 50ml/1. Slim 50ml PSD/11. GBSlm50SpryMtGl.psd,ready,
slim-50ml-clear-18-415-perfumespray,GBSlm50SpryMtGl,GB-SLM-CLR-50ML-SPR-MGLD,GBSlm50SpryMtGl__GB-SLM-CLR-50ML-SPR-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /15. Slim 50ml/1. Slim 50ml PSD/13. GBSlm50SpryMtGl.psd,ready,
slim-50ml-clear-18-415-reducer,GBSlm50RdcrShnGl,GB-SLM-CLR-50ML-RDC-SGLD,GBSlm50RdcrShnGl__GB-SLM-CLR-50ML-RDC-SGLD.png,identity-cap-on,bbuat,2. PSD Capped /2.  18-415 Bottles Capped/15. Slim 50ml/1. Slim 50ml PSD/1. GBSlm50RdcrShnGl..psd,ready,
slim-50ml-clear-18-415-reducer,GBSlm50RdcrShnGl,GB-SLM-CLR-50ML-RDC-SGLD,GBSlm50RdcrShnGl__GB-SLM-CLR-50ML-RDC-SGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /2.  18-415 Bottles /15. Slim 50ml/1. Slim 50ml PSD/1. GBSlm50RdcrShnGl..psd,ready,
