groupSlug,websiteSku,graceSku,exportFileName,role,psdEstate,psdPath,status,heroRole,note
square-15ml-clear-13-415,GBSqr15Gl,GB-VIA-CLR-15ML-GLD-T-02,GBSqr15Gl__GB-VIA-CLR-15ML-GLD-T-02.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/12. Square 15ml/2. Square 15ml (Capped) PSD/28. GBSqr15Gl.psd,ready,,
square-15ml-clear-13-415,GBSqr15Gl,GB-VIA-CLR-15ML-GLD-T-02,GBSqr15Gl__GB-VIA-CLR-15ML-GLD-T-02.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/12. Square 15ml/1. Square 15ml (Uncapped) PSD /28. GBSqr15Gl.psd,ready,hero,
square-15ml-clear-13-415-finemist,GBSqr15SpryGlMatt,GB-SQR-CLR-15ML-SPR-MGLD,GBSqr15SpryGlMatt__GB-SQR-CLR-15ML-SPR-MGLD.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/12. Square 15ml/2. Square 15ml (Capped) PSD/7. GBSqr15SpryGlMatt.psd,ready,,
square-15ml-clear-13-415-finemist,GBSqr15SpryGlMatt,GB-SQR-CLR-15ML-SPR-MGLD,GBSqr15SpryGlMatt__GB-SQR-CLR-15ML-SPR-MGLD.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/12. Square 15ml/1. Square 15ml (Uncapped) PSD /7. GBSqr15SpryGlMatt.psd,ready,hero,
square-15ml-clear-13-415-rollon,GBSqr15MtlRollBlkDot,GB-SQR-CLR-15ML-MRL-BKDT,GBSqr15MtlRollBlkDot__GB-SQR-CLR-15ML-MRL-BKDT.png,identity-cap-on,bbuat,2. PSD Capped /5.  13-415 Bottles/12. Square 15ml/2. Square 15ml (Capped) PSD/26. GBSqr15MtlRollBlkDot.psd,ready,,
square-15ml-clear-13-415-rollon,GBSqr15MtlRollBlkDot,GB-SQR-CLR-15ML-MRL-BKDT,GBSqr15MtlRollBlkDot__GB-SQR-CLR-15ML-MRL-BKDT.png,pdp-cap-off-sidecar,bbuat,1. PSD Uncapped /5.  13-415 Bottles/12. Square 15ml/1. Square 15ml (Uncapped) PSD /26. GBSqr15MtlRollBlkDot.psd,ready,hero,
